seed,selector,admit,delta_test_raw,delta_tail,delta_r,test_mse_raw,test_tail_mse,pearson_r
0,Baseline,1,0.0,0.0,0.0,0.4007611870765686,3.4386916160583496,0.6234621800953871
0,Proxy-only,1,0.025821715593338013,0.3783941268920903,-0.03204251312244133,0.4265829026699066,3.81708574295044,0.5914196669729458
0,Val-loss-only,1,0.024239391088485718,0.3061952590942383,-0.03351805235252836,0.4250005781650543,3.744886875152588,0.5899441277428588
0,1.25x guardrail,1,0.025821715593338013,0.3783941268920903,-0.03204251312244133,0.4265829026699066,3.81708574295044,0.5914196669729458
1,Baseline,1,0.0,0.0,0.0,0.4013983309268951,3.454227924346924,0.6265151322837774
1,Proxy-only,1,0.030433416366577204,0.39916372299194336,-0.04023297358455291,0.4318317472934723,3.853391647338867,0.5862821586992245
1,Val-loss-only,1,0.023531019687652588,0.28645157814025923,-0.03523025123497758,0.4249293506145477,3.740679502487183,0.5912848810487998
1,1.25x guardrail,1,0.030433416366577204,0.39916372299194336,-0.04023297358455291,0.4318317472934723,3.853391647338867,0.5862821586992245
2,Baseline,1,0.0,0.0,0.0,0.4033945202827453,3.521195888519287,0.6191866098204915
2,Proxy-only,1,0.027227729558944702,0.32547473907470703,-0.03131443550439739,0.43062224984169,3.846670627593994,0.5878721743160941
2,Val-loss-only,1,0.021465778350830078,0.20218586921691895,-0.028519540677492627,0.4248602986335754,3.723381757736206,0.5906670691429988
2,1.25x guardrail,1,0.027227729558944702,0.32547473907470703,-0.03131443550439739,0.43062224984169,3.846670627593994,0.5878721743160941
3,Baseline,1,0.0,0.0,0.0,0.4000697135925293,3.4534952640533447,0.6246368709239694
3,Proxy-only,1,0.029255658388137817,0.3786439895629883,-0.03727452199461467,0.4293253719806671,3.832139253616333,0.5873623489293547
3,Val-loss-only,1,0.025219887495040894,0.31659436225891113,-0.03185096292455014,0.4252896010875702,3.770089626312256,0.5927859079994192
3,1.25x guardrail,1,0.029255658388137817,0.3786439895629883,-0.03727452199461467,0.4293253719806671,3.832139253616333,0.5873623489293547
4,Baseline,1,0.0,0.0,0.0,0.4025306403636932,3.4675796031951904,0.6253085647208062
4,Proxy-only,1,0.02580460906028753,0.35695600509643555,-0.03630774737693321,0.4283352494239807,3.824535608291626,0.589000817343873
4,Val-loss-only,1,0.0237140953540802,0.28037023544311523,-0.03600735567456281,0.4262447357177734,3.7479498386383057,0.5893012090462434
4,1.25x guardrail,1,0.02580460906028753,0.35695600509643555,-0.03630774737693321,0.4283352494239807,3.824535608291626,0.589000817343873
5,Baseline,1,0.0,0.0,0.0,0.4038540720939636,3.428243398666382,0.6262750299915233
5,Proxy-only,1,0.024101763963699285,0.3853483200073242,-0.03711997637754105,0.4279558360576629,3.813591718673706,0.5891550536139822
5,Val-loss-only,1,0.022051453590393066,0.31423068046569824,-0.036154934574314956,0.4259055256843567,3.74247407913208,0.5901200954172083
5,1.25x guardrail,1,0.024101763963699285,0.3853483200073242,-0.03711997637754105,0.4279558360576629,3.813591718673706,0.5891550536139822
6,Baseline,1,0.0,0.0,0.0,0.4070012867450714,3.4646544456481934,0.621854770928218
6,Proxy-only,1,0.02621021866798401,0.4160499572753906,-0.03783490422701563,0.4332115054130554,3.880704402923584,0.5840198667012023
6,Val-loss-only,1,0.0204112827777862,0.2566404342651367,-0.031082254641601303,0.4274125695228576,3.72129487991333,0.5907725162866166
6,1.25x guardrail,1,0.02621021866798401,0.4160499572753906,-0.03783490422701563,0.4332115054130554,3.880704402923584,0.5840198667012023
7,Baseline,1,0.0,0.0,0.0,0.397981733083725,3.440721035003662,0.6254420854613985
7,Proxy-only,1,0.030442416667938232,0.3968563079833989,-0.03332020898846355,0.4284241497516632,3.837577342987061,0.5921218764729349
7,Val-loss-only,1,0.026797950267791748,0.2913670539855957,-0.03383579495759992,0.4247796833515167,3.732088088989258,0.5916062905037985
7,1.25x guardrail,1,0.030442416667938232,0.3968563079833989,-0.03332020898846355,0.4284241497516632,3.837577342987061,0.5921218764729349
8,Baseline,1,0.0,0.0,0.0,0.4043315947055816,3.4626407623291016,0.6250239147777287
8,Proxy-only,1,0.024109005928039606,0.35841464996337935,-0.03458866401849647,0.4284406006336212,3.821055412292481,0.5904352507592322
8,Val-loss-only,1,0.02145075798034668,0.3078351020812984,-0.03499102605876048,0.4257823526859283,3.7704758644104,0.5900328887189682
8,1.25x guardrail,1,0.024109005928039606,0.35841464996337935,-0.03458866401849647,0.4284406006336212,3.821055412292481,0.5904352507592322
9,Baseline,1,0.0,0.0,0.0,0.4012482762336731,3.4616050720214844,0.6233426732447744
9,Proxy-only,1,0.027644395828247015,0.36616420745849654,-0.03499750548897762,0.4288926720619201,3.827769279479981,0.5883451677557968
9,Val-loss-only,1,0.02437156438827509,0.2622995376586914,-0.03185429307529797,0.4256198406219482,3.723904609680176,0.5914883801694765
9,1.25x guardrail,1,0.027644395828247015,0.36616420745849654,-0.03499750548897762,0.4288926720619201,3.827769279479981,0.5883451677557968
