objective,seed,policy,n_tail,fixed_tail_loss,own_tail_cvar,overall_loss
SoftClip P95,0,baseline,8506,1.4716883228260933,1.4716883228260933,0.2112382538557899
SoftClip P95,0,proxy,8506,2.3235370378676596,2.3421746845970466,0.2534639722374105
GCE q=0.7,0,baseline,8506,1.4438143379902515,1.4438143379902515,0.2112731343482996
GCE q=0.7,0,proxy,8506,2.294238502318524,2.3185833374144824,0.250905488766731
SoftClip P95,1,baseline,8506,1.4805231251299147,1.4805231251299147,0.2111803737917852
SoftClip P95,1,proxy,8506,2.340504886655824,2.3630232266779765,0.2570778672510135
GCE q=0.7,1,baseline,8506,1.4143195941954363,1.4143195941954365,0.21388107474964946
GCE q=0.7,1,proxy,8506,2.3751863494434153,2.466629643662644,0.2662026844456645
SoftClip P95,2,baseline,8506,1.4685940325853823,1.4685940325853826,0.20963240129740884
SoftClip P95,2,proxy,8506,2.522905899324015,2.5914590582366115,0.27687814707890146
GCE q=0.7,2,baseline,8506,1.4274300961222308,1.4274300961222308,0.21530290039747998
GCE q=0.7,2,proxy,8506,2.2482363403858034,2.2946558238241415,0.2503437281960921
SoftClip P95,3,baseline,8506,1.4617342992142792,1.461734299214279,0.21643286134896106
SoftClip P95,3,proxy,8506,2.3150365094506578,2.330068154723609,0.2551129006249839
GCE q=0.7,3,baseline,8506,1.4617342992142792,1.461734299214279,0.21643286134896106
GCE q=0.7,3,proxy,8506,2.3814859275486024,2.426717474698525,0.2601831171394533
SoftClip P95,4,baseline,8506,1.4709731649429694,1.4709731649429694,0.2116145931981471
SoftClip P95,4,proxy,8506,2.5502260560204832,2.6167410562987823,0.2796295785473941
GCE q=0.7,4,baseline,8506,1.507515317838219,1.5075153178382188,0.21100054050479655
GCE q=0.7,4,proxy,8506,2.3479825120532523,2.3728051542710498,0.2571914700329678
SoftClip P95,5,baseline,8506,1.5431348972189851,1.5431348972189853,0.21051798245762204
SoftClip P95,5,proxy,8506,2.2945823632660733,2.3458812728743905,0.25467939371926124
GCE q=0.7,5,baseline,8506,1.4265796976246163,1.4265796976246166,0.21596202326544503
GCE q=0.7,5,proxy,8506,2.263871327172276,2.3086220040099277,0.2523770615719869
SoftClip P95,6,baseline,8506,1.4386362297051438,1.4386362297051436,0.2109608750813894
SoftClip P95,6,proxy,8506,2.3177619638301463,2.3376803305266094,0.2543402401907309
GCE q=0.7,6,baseline,8506,1.4386362297051438,1.4386362297051436,0.2109608750813894
GCE q=0.7,6,proxy,8506,2.4773597073739824,2.5378201757913192,0.27123931046237226
SoftClip P95,7,baseline,8506,1.4741538879274718,1.4741538879274718,0.208187291847365
SoftClip P95,7,proxy,8506,2.6128882104249813,2.7109738622696664,0.28971989549797633
GCE q=0.7,7,baseline,8506,1.4328819400432566,1.4328819400432566,0.21449652904941172
GCE q=0.7,7,proxy,8506,2.224139996788597,2.2667972752758225,0.25007678500795166
SoftClip P95,8,baseline,8506,1.5040261482451995,1.5040261482451998,0.2136190914060158
SoftClip P95,8,proxy,8506,2.303336451959486,2.3277548572954356,0.2533972462552027
GCE q=0.7,8,baseline,8506,1.4242854782754073,1.424285478275407,0.21633998817327718
GCE q=0.7,8,proxy,8506,2.2866217503240933,2.341117945304003,0.25314170475606784
SoftClip P95,9,baseline,8506,1.5084980864483353,1.508498086448335,0.20774407338038572
SoftClip P95,9,proxy,8506,2.6598135757075423,2.7129496891897906,0.2899748538256013
GCE q=0.7,9,baseline,8506,1.4631359008685338,1.4631359008685338,0.2094257480909414
GCE q=0.7,9,proxy,8506,2.4975317612642494,2.5649265066408438,0.2728693917999915
