selection_mode,selection_policy,regime,seed,tag,epoch,val_overall_loss,val_overall_acc,proxy_metric,proxy_metric_name,bootstrap_rw,bootstrap_rw_early_mean,fallback_to_baseline,guardrail_budget_rho,guardrail_threshold,oracle_target_metric
selected_best_proxy,baseline,erm,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.2367297864091579,0.907,0.7606988546508615,proxy_worst_loss_min,,,,,,
selected_best_proxy,proxy_only,erm_bootstrap_h60_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,8,0.2481833951337976,0.91,0.643386192500613,bootstrap_proxy_worst_loss,0.5532002717868508,0.6067217220475494,,,,
selected_best_proxy,val_loss_only,erm_bootstrap_h60_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,4,0.2460799209152401,0.905,0.654054214833713,bootstrap_proxy_worst_loss,0.5875032307330529,0.6067217220475494,,,,
selected_best_proxy,guardrail,erm_bootstrap_h60_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,8,0.2481833951337976,0.91,0.643386192500613,bootstrap_proxy_worst_loss,0.5532002717868508,0.6067217220475494,0.0,1.25,0.29591223301144737,
selected_best_proxy,oracle_loss,erm_bootstrap_h60_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,6,0.2468819400582505,0.9075,0.6460599383212439,bootstrap_proxy_worst_loss,0.5629083601124008,0.6067217220475494,,,,test_hosp_2_loss
selected_best_proxy,baseline,erm,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,6,0.2381419170456062,0.9085,0.7675120773815339,proxy_worst_loss_min,,,,,,
selected_best_proxy,proxy_only,erm_bootstrap_h60_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,23,0.2730041711362257,0.913,0.6443416673666607,bootstrap_proxy_worst_loss,0.5801661174734364,0.5972048497172113,,,,
selected_best_proxy,val_loss_only,erm_bootstrap_h60_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,5,0.244801364559738,0.9065,0.6460220544604365,bootstrap_proxy_worst_loss,0.5693009554449046,0.5972048497172113,,,,
selected_best_proxy,guardrail,erm_bootstrap_h60_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,23,0.2730041711362257,0.913,0.6443416673666607,bootstrap_proxy_worst_loss,0.5801661174734364,0.5972048497172113,0.0,1.25,0.29767739630700774,
selected_best_proxy,oracle_loss,erm_bootstrap_h60_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,6,0.2473367368481899,0.908,0.6519597263077821,bootstrap_proxy_worst_loss,0.5668001473434494,0.5972048497172113,,,,test_hosp_2_loss
