dataset,regime,seed,tag,epoch,split,family,bank,partition,within_cvar_mean,within_cvar_weighted,worst_cell_cvar,worst_cell_mean_loss,worst_cell_mean_acc,oracle_wg_acc
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,val,conf_init_wpl,A,0,1.6719088852405548,1.6726049707327835,3.937018076578776,0.7280529305852693,0.7241379310344828,0.8860103626943006
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,val,conf_init_wpl,A,0,1.8427611266573272,1.845718149831358,6.958532174428304,1.1228874664882134,0.7586206896551724,0.910880829015544
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,3,val,conf_init_wpl,A,0,1.8270572970310848,1.8294770595055079,5.280489603678386,0.9193715473701214,0.7068965517241379,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,val,conf_init_wpl,A,0,2.0905006354053812,2.0944559238045786,6.544732729593913,1.0019229814924042,0.7758620689655172,0.917098445595855
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,5,val,conf_init_wpl,A,0,2.1619046106934547,2.1642822659307996,7.90761137008667,1.316356733955186,0.7758620689655172,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,val,conf_init_wpl,A,0,1.9590131491422653,1.9601472789650067,5.357212066650391,0.8020325046161125,0.7758620689655172,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,7,val,conf_init_wpl,A,0,3.064314366007845,3.06554290588935,8.478087266286215,1.3763256576554528,0.7586206896551724,0.9036269430051813
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,8,val,conf_init_wpl,A,0,2.7037557115157442,2.7063290668768194,6.055379231770833,0.8097241109815138,0.7931034482758621,0.9305699481865285
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,9,val,conf_init_wpl,A,0,2.619784598549207,2.620992937962864,6.334587017695109,1.0555193074818314,0.7931034482758621,0.9352657004830918
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,10,val,conf_init_wpl,A,0,2.7287733654181165,2.7320610913442116,7.465991338094075,1.2271787770863236,0.7758620689655172,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,val,conf_init_wpl,B,0,1.5007921333114305,1.5469106736977893,4.199869791666667,0.6152257178280804,0.75,0.8860103626943006
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,val,conf_init_wpl,B,0,1.6792017202824354,1.781408987959226,7.368239879608154,1.1222805860969756,0.7567567567567568,0.910880829015544
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,3,val,conf_init_wpl,B,0,1.6383751605947812,1.7476057504018148,5.766102313995361,0.8517824543846978,0.7777777777777778,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,val,conf_init_wpl,B,0,1.8933904909839234,2.008192901949088,9.552734375,1.1048105359077454,0.8333333333333334,0.917098445595855
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,5,val,conf_init_wpl,B,0,1.947573657458027,2.0925411240259804,7.070559740066528,1.0075096007850435,0.8055555555555556,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,val,conf_init_wpl,B,0,1.7931270121286313,1.9125348482131959,7.571563959121704,0.9694523082839118,0.8055555555555556,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,7,val,conf_init_wpl,B,0,2.695709271744515,2.817940150409937,11.062278747558594,1.3628684588380762,0.8055555555555556,0.9036269430051813
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,8,val,conf_init_wpl,B,0,2.3174058739095926,2.4490238880614443,10.72266674041748,1.4756382024950452,0.8055555555555556,0.9305699481865285
