regime,seed,family,label,selected_epoch,early_epoch_lo,early_epoch_hi,early_rw,early_gap,tail_delta_vs_erm,proxy_delta_vs_erm,pred_harm_rw_lt1,actual_harm_tail_gt0,sign_correct
erm_focal_g1_cam,0,focal,Focal 1,4,1,5,2.3076425862429786,0.0,-2.415369153022766,-0.0482283261878633,0,0,1
erm_focal_g1_cam,1,focal,Focal 1,6,1,5,2.326715814546264,0.0,-2.410446047782898,-0.0592559330405727,0,0,1
erm_focal_g1_cam,2,focal,Focal 1,3,1,5,2.328254589691375,0.0,-2.622721493244172,-0.0641013760618567,0,0,1
erm_focal_g1_cam,3,focal,Focal 1,4,1,5,2.328978025301734,0.0,-2.167065680027008,-0.0530417676749235,0,0,1
erm_focal_g1_cam,4,focal,Focal 1,6,1,5,2.333038033623475,0.0,-2.285290896892548,-0.0555199752091079,0,0,1
erm_focal_g1_cam,5,focal,Focal 1,3,1,5,2.317415922104054,0.0,-2.980861186981201,-0.0538197143576886,0,0,1
erm_focal_g1_cam,6,focal,Focal 1,4,1,5,2.3280310953127867,0.0,-2.0326730608940125,-0.0595607050673585,0,0,1
erm_focal_g1_cam,7,focal,Focal 1,3,1,5,2.3485665798363273,0.0,-2.5445879697799683,-0.0465490279418806,0,0,1
erm_focal_g1_cam,8,focal,Focal 1,6,1,5,2.337919667165162,0.0,-2.2773486971855164,-0.0604674261343735,0,0,1
erm_focal_g1_cam,9,focal,Focal 1,4,1,5,2.329633123582986,0.0,-2.6142697930336,-0.0475161665069159,0,0,1
erm_focal_g2_cam,0,focal,Focal 2,4,1,5,3.8751752508190322,0.0,-3.3145232796669,-0.0602731620752683,0,0,1
erm_focal_g2_cam,1,focal,Focal 2,3,1,5,3.938324756372256,0.0,-3.389345049858093,-0.0688039892142818,0,0,1
erm_focal_g2_cam,2,focal,Focal 2,3,1,5,3.9785543743819014,0.0,-3.49153345823288,-0.0781090473455767,0,0,1
erm_focal_g2_cam,3,focal,Focal 2,3,1,5,3.951886075861064,0.0,-3.015822172164917,-0.0644181692646862,0,0,1
erm_focal_g2_cam,4,focal,Focal 2,5,1,5,4.009410895001004,0.0,-3.169168710708618,-0.0663329464133067,0,0,1
erm_focal_g2_cam,5,focal,Focal 2,3,1,5,3.929474409657568,0.0,-3.808186650276184,-0.0637808345083442,0,0,1
erm_focal_g2_cam,6,focal,Focal 2,4,1,5,3.990144288352906,0.0,-2.848172247409821,-0.069925056408111,0,0,1
erm_focal_g2_cam,7,focal,Focal 2,3,1,5,4.026504776106781,0.0,-3.4227036237716675,-0.0574480163845673,0,0,1
erm_focal_g2_cam,8,focal,Focal 2,2,1,5,3.9832049002442873,0.0,-3.45923525094986,-0.0709183188455719,0,0,1
erm_focal_g2_cam,9,focal,Focal 2,4,1,5,4.004964954609082,0.0,-3.5005146265029907,-0.0552468139477955,0,0,1
erm_focal_g4_cam,0,focal,Focal 4,4,1,5,6.959751057709869,0.0,-4.055125743150711,-0.062755971554146,0,0,1
erm_focal_g4_cam,1,focal,Focal 4,3,1,5,7.029964810983088,0.0,-4.059048533439636,-0.0717357705677709,0,0,1
erm_focal_g4_cam,2,focal,Focal 4,2,1,5,7.344684139830926,0.0,-4.305153429508209,-0.0850833925989366,0,0,1
erm_focal_g4_cam,3,focal,Focal 4,3,1,5,7.199162831746027,0.0,-3.8116918802261353,-0.0699513083358431,0,0,1
erm_focal_g4_cam,4,focal,Focal 4,2,1,5,7.572225440947614,0.0,-4.168408513069153,-0.0717088445860852,0,0,1
erm_focal_g4_cam,5,focal,Focal 4,3,1,5,7.169978893375157,0.0,-4.485211789608002,-0.0688081520138889,0,0,1
erm_focal_g4_cam,6,focal,Focal 4,4,1,5,7.360961367815927,0.0,-3.570776522159577,-0.0704723005274989,0,0,1
erm_focal_g4_cam,7,focal,Focal 4,1,1,5,7.398244955919877,0.0,-4.286416620016098,-0.0623457796580338,0,0,1
erm_focal_g4_cam,8,focal,Focal 4,2,1,5,7.154750003354382,0.0,-4.164088159799576,-0.079396566195834,0,0,1
erm_focal_g4_cam,9,focal,Focal 4,4,1,5,7.324424444712697,0.0,-4.2289679646492,-0.0532438081599051,0,0,1
erm_labelsmooth_e02_cam,0,labelsmooth,LS 0.02,5,1,5,1.075352473366196,0.0,-1.047924280166626,-0.0227847696996621,0,0,1
erm_labelsmooth_e02_cam,1,labelsmooth,LS 0.02,6,1,5,1.0757210353402222,0.0,-1.194114089012146,-0.0314437414529502,0,0,1
erm_labelsmooth_e02_cam,2,labelsmooth,LS 0.02,3,1,5,1.076099124569063,0.0,-1.4631725549697876,-0.0311422442483878,0,0,1
erm_labelsmooth_e02_cam,3,labelsmooth,LS 0.02,4,1,5,1.0761460440483026,0.0,-0.7988777160644531,-0.0204792839719869,0,0,1
erm_labelsmooth_e02_cam,4,labelsmooth,LS 0.02,6,1,5,1.0758348854402437,0.0,-1.0112820863723757,-0.0277516848457756,0,0,1
erm_labelsmooth_e02_cam,5,labelsmooth,LS 0.02,7,1,5,1.0756468613513686,0.0,-1.2649884223937988,-0.0167031486749008,0,0,1
erm_labelsmooth_e02_cam,6,labelsmooth,LS 0.02,4,1,5,1.0757849728161628,0.0,-0.7973952293395996,-0.0275474666150783,0,0,1
erm_labelsmooth_e02_cam,7,labelsmooth,LS 0.02,5,1,5,1.0771584633563485,0.0,-0.9644337892532348,-0.0189604132646514,0,0,1
erm_labelsmooth_e02_cam,8,labelsmooth,LS 0.02,6,1,5,1.0768903441889814,0.0,-1.0071492195129397,-0.0361891602396323,0,0,1
erm_labelsmooth_e02_cam,9,labelsmooth,LS 0.02,7,1,5,1.0755727488454583,0.0,-0.9078041315078736,-0.0160055356801196,0,0,1
erm_labelsmooth_e05_cam,0,labelsmooth,LS 0.05,4,1,5,1.159296548731294,0.0,-1.698460876941681,-0.0263917164616687,0,0,1
erm_labelsmooth_e05_cam,1,labelsmooth,LS 0.05,6,1,5,1.1611389753198167,0.0,-2.029662549495697,-0.0303825072383367,0,0,1
erm_labelsmooth_e05_cam,2,labelsmooth,LS 0.05,3,1,5,1.1620460546094602,0.0,-2.002197742462158,-0.0426271093949194,0,0,1
erm_labelsmooth_e05_cam,3,labelsmooth,LS 0.05,4,1,5,1.1622292363237843,0.0,-1.4000114798545835,-0.0292523123418597,0,0,1
erm_labelsmooth_e05_cam,4,labelsmooth,LS 0.05,5,1,5,1.1616943140025413,0.0,-1.5835695266723633,-0.0320603006629532,0,0,1
erm_labelsmooth_e05_cam,5,labelsmooth,LS 0.05,3,1,5,1.160845071803868,0.0,-2.2033077478408813,-0.0208916847343726,0,0,1
erm_labelsmooth_e05_cam,6,labelsmooth,LS 0.05,4,1,5,1.1613327550574588,0.0,-1.3331953883171082,-0.0351621731460269,0,0,1
erm_labelsmooth_e05_cam,7,labelsmooth,LS 0.05,4,1,5,1.1630504783085824,0.0,-1.501975893974303,-0.0183773766361897,0,0,1
erm_labelsmooth_e05_cam,8,labelsmooth,LS 0.05,4,1,5,1.1630581760820529,0.0,-1.9203500151634216,-0.0382707262151343,0,0,1
erm_labelsmooth_e05_cam,9,labelsmooth,LS 0.05,4,1,5,1.161492807562224,0.0,-2.0025182962417603,-0.0214861668085539,0,0,1
erm_labelsmooth_e10_cam,0,labelsmooth,LS 0.10,5,1,5,1.279664895015643,0.0,-2.521581590175628,-0.027494506233482,0,0,1
erm_labelsmooth_e10_cam,1,labelsmooth,LS 0.10,3,1,5,1.2834003372494869,0.0,-2.41899049282074,-0.0373882354267182,0,0,1
erm_labelsmooth_e10_cam,2,labelsmooth,LS 0.10,4,1,5,1.2848596760887463,0.0,-2.5538877844810486,-0.0509641091189077,0,0,1
erm_labelsmooth_e10_cam,3,labelsmooth,LS 0.10,4,1,5,1.2839518308255813,0.0,-2.1788449883461,-0.0316182889138965,0,0,1
erm_labelsmooth_e10_cam,4,labelsmooth,LS 0.10,5,1,5,1.28568871018127,0.0,-2.3099125623703003,-0.0349169244048416,0,0,1
erm_labelsmooth_e10_cam,5,labelsmooth,LS 0.10,3,1,5,1.2831088989584576,0.0,-2.783240020275116,-0.0242847666224484,0,0,1
erm_labelsmooth_e10_cam,6,labelsmooth,LS 0.10,4,1,5,1.2837823146459741,0.0,-1.9897053241729736,-0.0384478668313572,0,0,1
erm_labelsmooth_e10_cam,7,labelsmooth,LS 0.10,4,1,5,1.2857719436844524,0.0,-2.3569773435592656,-0.0304471734310349,0,0,1
erm_labelsmooth_e10_cam,8,labelsmooth,LS 0.10,4,1,5,1.2853825594191775,0.0,-2.594597101211548,-0.0361518986843606,0,0,1
erm_labelsmooth_e10_cam,9,labelsmooth,LS 0.10,4,1,5,1.2854709177181953,0.0,-2.735706984996796,-0.0177381431063016,0,0,1
erm_labelsmooth_e20_cam,0,labelsmooth,LS 0.20,5,1,5,1.4958598083333006,0.0,-3.306097149848938,-0.0367193071912693,0,0,1
