regime,seed,epoch
erm,0,5
erm,1,6
erm,2,5
erm,3,4
erm,4,5
erm,5,8
erm,6,4
erm,7,5
erm,8,6
erm,9,7
erm_softclip_p95_a10_cam,0,11
erm_softclip_p95_a10_cam,1,12
erm_softclip_p95_a10_cam,2,24
erm_softclip_p95_a10_cam,3,10
erm_softclip_p95_a10_cam,4,25
erm_softclip_p95_a10_cam,5,10
erm_softclip_p95_a10_cam,6,10
erm_softclip_p95_a10_cam,7,28
erm_softclip_p95_a10_cam,8,11
erm_softclip_p95_a10_cam,9,29
erm_softclip_p97_a10_cam,0,15
erm_softclip_p97_a10_cam,1,13
erm_softclip_p97_a10_cam,2,20
erm_softclip_p97_a10_cam,3,20
erm_softclip_p97_a10_cam,4,20
erm_softclip_p97_a10_cam,5,15
erm_softclip_p97_a10_cam,6,26
erm_softclip_p97_a10_cam,7,22
erm_softclip_p97_a10_cam,8,17
erm_softclip_p97_a10_cam,9,25
erm_softclip_p99_a10_cam,0,6
erm_softclip_p99_a10_cam,1,5
erm_softclip_p99_a10_cam,2,6
erm_softclip_p99_a10_cam,3,6
erm_softclip_p99_a10_cam,4,4
erm_softclip_p99_a10_cam,5,6
erm_softclip_p99_a10_cam,6,8
erm_softclip_p99_a10_cam,7,5
erm_softclip_p99_a10_cam,8,4
erm_softclip_p99_a10_cam,9,4
