dataset,regime,seed,tag,epoch,test_overall_acc,test_overall_loss,test_brier,test_ece,test_worst_domain_brier,test_worst_domain_ece
camelyon17,erm,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.918733980765161,0.21123825408724983,0.0616298432191169,0.010540890878999745,0.0616298432191169,0.010540890878999745
camelyon17,erm_softclip_p95_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,11,0.9222729089754744,0.25346397295529816,0.06161710377675126,0.03767493518457584,0.06161710377675126,0.03767493518457584
camelyon17,erm_softclip_p95_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,7,0.9190984550991135,0.24422239958887734,0.0630617216369468,0.03454372091856529,0.0630617216369468,0.03454372091856529
camelyon17,erm,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.918733980765161,0.21123825408724983,0.0616298432191169,0.010540890878999745,0.0616298432191169,0.010540890878999745
camelyon17,erm,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,6,0.9185105932701578,0.21118037335337395,0.0617474934199819,0.010432098507960334,0.0617474934199819,0.010432098507960334
camelyon17,erm_softclip_p95_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,12,0.920697439273873,0.2570778672845123,0.06287062361977602,0.038163975921238505,0.06287062361977602,0.038163975921238505
camelyon17,erm_softclip_p95_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.9155712841253791,0.24883136889852564,0.065577315268996,0.03469557295383025,0.065577315268996,0.03469557295383025
camelyon17,erm_softclip_p95_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.9155712841253791,0.24883136889852564,0.065577315268996,0.03469557295383025,0.065577315268996,0.03469557295383025
camelyon17,erm,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.9196863169280692,0.2096324002338377,0.06107414322138705,0.010759717004675706,0.06107414322138705,0.010759717004675706
camelyon17,erm_softclip_p95_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,24,0.9196392879817528,0.2768781483397844,0.06423890182433885,0.04295030306494779,0.06423890182433885,0.04295030306494779
camelyon17,erm_softclip_p95_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.9177581301290945,0.24389401622969142,0.06401800669193072,0.03326550994041862,0.06401800669193072,0.03326550994041862
camelyon17,erm_softclip_p95_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,7,0.9183224774848919,0.2454019916596987,0.06347879386316914,0.03454185552766445,0.06347879386316914,0.03454185552766445
camelyon17,erm,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.9159122439861734,0.21643286075538856,0.06363659542893793,0.01081372786805518,0.06363659542893793,0.01081372786805518
camelyon17,erm_softclip_p95_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,10,0.9193806287770122,0.25511290036326456,0.06344839393737178,0.038184624738183126,0.06344839393737178,0.038184624738183126
camelyon17,erm_softclip_p95_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.9157123709643286,0.24823444756532184,0.06549347364316815,0.03366682571277281,0.06549347364316815,0.03366682571277281
camelyon17,erm,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.9159122439861734,0.21643286075538856,0.06363659542893793,0.01081372786805518,0.06363659542893793,0.01081372786805518
camelyon17,erm,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.9182754485385755,0.21161459250942344,0.06185632805646369,0.01035979674115462,0.06185632805646369,0.01035979674115462
camelyon17,erm_softclip_p95_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,25,0.9192630564112211,0.279629579608808,0.0646835371916133,0.04329859148723311,0.0646835371916133,0.04329859148723311
camelyon17,erm_softclip_p95_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,7,0.9202859359936041,0.2450639653310564,0.06263831184964215,0.035293306938899,0.06263831184964215,0.035293306938899
camelyon17,erm_softclip_p95_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,7,0.9202859359936041,0.2450639653310564,0.06263831184964215,0.035293306938899,0.06263831184964215,0.035293306938899
camelyon17,erm,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,8,0.9202389070472876,0.2105179825649555,0.06086056134938158,0.00945749915526288,0.06086056134938158,0.00945749915526288
camelyon17,erm_softclip_p95_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,10,0.9210266418980882,0.25467939302460707,0.06246857406344234,0.03824450410290295,0.06246857406344234,0.03824450410290295
camelyon17,erm_softclip_p95_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.9159475156959108,0.24548393724991072,0.06512677245700763,0.033613643594566214,0.06512677245700763,0.033613643594566214
