level,seed,proxy_epoch,val_loss_epoch,delta_proxy_metric,delta_val_overall_loss,delta_loss,delta_acc,delta_ece,delta_brier,delta_teacher_tail_cvar
P95,0,11,7,-0.008431549753914691,0.015343016568792,0.009241573366420813,0.0031744538763608388,0.0031312142660105957,-0.0014446178601956045,0.96848464012146
P95,1,12,5,-0.016347904887431652,0.020347271504306264,0.008246498385986706,0.005126155148493794,0.0034684029674082947,-0.0027066916492200083,1.556800127029419
P95,2,24,5,-0.01599192960378326,0.04694155123173016,0.03298413211009302,0.0018811578526584105,0.0096847931245291,0.00022089513240811098,2.7495222091674787
P95,3,10,5,-0.027218698253094642,0.01025879754193637,0.006878452797942719,0.0036682578126836507,0.004517799025410302,-0.0020450797057963988,1.1134719848632795
P95,4,25,7,-0.0009911104789492864,0.057759582410472576,0.03456561427775162,-0.0010228795823827852,0.008005284548334102,0.002045225341971199,2.566561222076416
P95,5,10,5,-0.026848520577036017,0.011289409373657189,0.009195455774696326,0.005079126202177431,0.0046308605083367,-0.002658198393565299,1.166022300720213
P95,6,10,6,-0.006832763840154965,0.013176195405207036,0.005532825039342104,0.004397206480588833,0.002925467681683197,-0.00253093294921819,1.1048574447631854
P95,7,28,5,-0.018135184384243552,0.06026756906462799,0.04504237578153453,-0.00027041644131964304,0.012173820566404696,0.0022804044218694974,3.251774549484253
P95,8,11,4,-0.024018176873134678,0.018065101214191803,0.00738275109739428,0.007642203776424328,0.006222154165619102,-0.004335394056121003,2.015085697174074
P95,9,29,4,-0.0219474490588778,0.062337030398372184,0.041177227971879865,0.003915159780845001,0.012868360376580297,-0.00022056875741749415,3.598536729812622
P97,0,15,5,-0.04596518188621035,0.02905824765517001,0.019687992930171705,0.0016812848308135342,0.008277121667329197,0.00013766480521371083,1.5196819305419922
P97,1,13,5,-0.03515147256860418,0.02706968185089642,0.01339390228682849,0.0020927881110823776,0.006543342426067304,-0.0006028446518075992,1.525794506072998
P97,2,20,3,-0.08094961920943933,0.04673195091957566,0.023258440185947887,0.008124250476168049,0.0156475493435579,-0.0035899120676243096,3.2390435934066772
P97,3,20,5,-0.03316805134795198,0.05454211031291728,0.024761493747642832,0.003209725586098222,0.009794262344786298,-0.000677968145454802,2.59843158721924
P97,4,20,5,-0.04454651615683081,0.044224958443636275,0.024440939233720593,0.004479507136642358,0.0098289804478628,-0.0013525218892418978,2.266452074050905
P97,5,15,3,-0.08392937538014289,0.03397796743603876,0.010746197872217977,0.009394032026712407,0.012153993633956098,-0.005071158438945095,2.846047878265381
P97,6,26,6,-0.026982372142030253,0.06382954555669917,0.0335908189404239,0.0027629505960919953,0.011279854809838698,-5.2238699142392875e-05,2.656318426132202
P97,7,22,5,-0.048586143879808086,0.05349343808029,0.032477694376832206,0.0006231335386931436,0.011116477232730002,0.0014781173129396058,2.6285886764526367
P97,8,17,5,-0.03852902164194394,0.034096086246006296,0.014426123296136989,0.005079126202177209,0.006546261595665598,-0.0027286836988735935,1.9142715930938738
P97,9,25,5,-0.04242841558146038,0.057440423811239594,0.03283868682537827,0.0028687657253038124,0.0135728188360063,-0.00010813537638210136,2.7198960781097394
P99,0,6,4,-0.01156510363181329,0.002616169758277942,-0.0019275194073089807,0.001469654572389567,0.0029421984856098007,-0.0013310160399001986,0.46614956855773926
P99,1,5,3,-0.0194044930181253,0.0024976856757619736,-0.0006611094386108074,0.0019281867989747736,0.0059579752528297995,-0.0011006651390934041,0.5632449388504028
P99,2,6,3,-0.013131745327864985,0.007573272045096002,-0.003281277822645201,0.0046088367390128004,0.0078169256636455,-0.0030163702690153976,1.0005829334259033
P99,3,6,2,-0.03634702677120205,0.006468431820422116,-0.012486454769224609,0.010746114233310622,0.0114486096848978,-0.006864742864854591,1.6127408742904663
P99,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P99,5,6,3,-0.004918839960315058,0.012082441165240487,-0.004357216105253886,0.005020340019281644,0.0075174668740611,-0.003628199096087907,1.300009846687317
P99,6,8,4,-0.0012616107530601939,0.012247996166181996,0.0011715289875526003,0.002939309144778468,0.006861906830481199,-0.001947583665001508,1.008478045463562
P99,7,5,3,-0.016229489911934625,0.0034586300350064048,-0.005694370380250696,0.004209090695322826,0.004002021905016801,-0.002862321328737698,0.6755822896957406
P99,8,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P99,9,4,3,-0.015552503331709877,0.0022996749087124957,-0.0031896546900855027,0.0030098525642531238,0.0032034102032273,-0.0018983530435658924,0.4894677400588989
