dataset,regime,seed,tag,epoch,val_overall_acc,val_overall_loss,val_brier,val_ece,val_worst_domain_brier,val_worst_domain_ece
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.9195,0.22141972284893222,0.06118925581430914,0.027126731739123958,0.06118925581430914,0.027126731739123958
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,0.9355,0.42785498598690525,0.05790836798574797,0.053013916788292266,0.05790836798574797,0.053013916788292266
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.8965,0.3346098434986394,0.08270724483358034,0.07082957766139288,0.08270724483358034,0.07082957766139288
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.9195,0.22141972284893222,0.06118925581430914,0.027126731739123958,0.06118925581430914,0.027126731739123958
camelyon17,rcgdro_finetune,1,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.9315,0.22020807803331086,0.054757729082297764,0.022645897350331755,0.054757729082297764,0.022645897350331755
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,1,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.93,0.24604135490995221,0.05876505834511426,0.047523477580968754,0.05876505834511426,0.047523477580968754
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,1,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.93,0.24604135490995221,0.05876505834511426,0.047523477580968754,0.05876505834511426,0.047523477580968754
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,1,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.93,0.24604135490995221,0.05876505834511426,0.047523477580968754,0.05876505834511426,0.047523477580968754
camelyon17,rcgdro_finetune,2,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,0.9245,0.2812701298621066,0.06339137503722421,0.040744884785155956,0.06339137503722421,0.040744884785155956
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,2,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,0.936,0.4105910273817517,0.05774514196370762,0.05240036054074847,0.05774514196370762,0.05240036054074847
