contrast,level,metric,unit,mean,ci_low,ci_high,n,harm_count,harmful_direction
same trajectory: proxy - val-loss,P95,Loss,fold,0.019885773635239794,0.011768734482757198,0.0321657760321194,5,5,positive
same trajectory: proxy - val-loss,P95,Acc,fold,-0.003029103142622243,-0.003721942487337726,-0.0018417739583619496,5,5,negative
same trajectory: proxy - val-loss,P95,Brier,fold,0.0028175354245426397,0.002495369591492487,0.0031321263037350213,5,5,positive
same trajectory: proxy - val-loss,P95,ECE,fold,0.005728720536286545,0.0027619705357364377,0.008701210171968758,5,5,positive
same trajectory: proxy - val-loss,P97,Loss,fold,0.010939390502137252,0.008024304462009132,0.015125671547109393,5,5,positive
same trajectory: proxy - val-loss,P97,Acc,fold,-0.001394989292409099,-0.002495322049364084,-0.00023346123566178045,5,4,negative
same trajectory: proxy - val-loss,P97,Brier,fold,0.001782815900273239,0.0010113627993631777,0.0026566445639387886,5,5,positive
same trajectory: proxy - val-loss,P97,ECE,fold,0.004025919428514007,0.0010923186467663305,0.006549530687574949,5,4,positive
same trajectory: proxy - val-loss,P99,Loss,fold,0.007552810395373523,0.004388539747107648,0.011514851698529904,5,5,positive
same trajectory: proxy - val-loss,P99,Acc,fold,-0.0014037295160834763,-0.0022833378094347934,-0.000524121222732159,5,5,negative
same trajectory: proxy - val-loss,P99,Brier,fold,0.0019033657138734597,0.0011488494404140299,0.0027202660220417476,5,5,positive
same trajectory: proxy - val-loss,P99,ECE,fold,0.006687280637325434,0.0049881126718064,0.009236960228147123,5,5,positive
workflow: proxy - baseline,P95,Loss,fold,0.01615058579982324,-0.004632986852814731,0.02820248415319957,5,4,positive
workflow: proxy - baseline,P95,Acc,fold,-0.0040551249556259866,-0.009401073272127778,0.00039064754786538174,5,4,negative
workflow: proxy - baseline,P95,Brier,fold,0.00012555918731438752,-0.004146547299210854,0.004397665673839629,5,3,positive
workflow: proxy - baseline,P95,ECE,fold,-0.016229748708610107,-0.028413659183916567,-0.004045838233303646,5,1,positive
workflow: proxy - baseline,P97,Loss,fold,-0.003148815527309177,-0.01833222742366692,0.01203459636904857,5,2,positive
workflow: proxy - baseline,P97,Acc,fold,0.00018466897721972197,-0.0050950928431723,0.0037017157288254296,5,1,negative
workflow: proxy - baseline,P97,Brier,fold,-0.003016432820476484,-0.00732471917625536,0.0014662348439466895,5,1,positive
workflow: proxy - baseline,P97,ECE,fold,-0.022352757399574923,-0.034836899253366714,-0.011390674751672996,5,0,positive
workflow: proxy - baseline,P99,Loss,fold,-0.010688045298412744,-0.020931023995363344,-0.00044506660146214244,5,2,positive
workflow: proxy - baseline,P99,Acc,fold,0.000838581119722115,-0.0017865493676281295,0.003465567296532335,5,2,negative
workflow: proxy - baseline,P99,Brier,fold,-0.0032799771983104673,-0.006367665484741042,-0.000192288911879894,5,1,positive
workflow: proxy - baseline,P99,ECE,fold,-0.018476227677715902,-0.028348273048948915,-0.012195643266672463,5,0,positive
