contrast,level,fold,holdout_hospital,n_seeds,delta_loss,delta_acc,delta_brier,delta_ece
same trajectory: proxy - val-loss,P95,camelyon17_loo_h0,0,10,0.013090026778245056,-0.0036275152082358097,0.00286081394209688,0.00204623373754514
same trajectory: proxy - val-loss,P95,camelyon17_loo_h1,1,10,0.01690228411372201,-0.003713041485216617,0.0033427541812408408,0.006085445616414649
same trajectory: proxy - val-loss,P95,camelyon17_loo_h2,2,10,0.017765857142000907,-0.0033249465045735115,0.0029513064298933565,0.01138193179420717
same trajectory: proxy - val-loss,P95,camelyon17_loo_h3,3,10,0.04332433208011701,-0.0007019553860754812,0.0022517400244228907,0.00731402173967714
same trajectory: proxy - val-loss,P95,camelyon17_loo_h4,4,10,0.008346368062113991,-0.003778057129009793,0.0026810625450592305,0.00181596979358863
same trajectory: proxy - val-loss,P97,camelyon17_loo_h0,0,10,0.00821512871350362,-0.0018642957416940332,0.0017776001113875492,-0.0009479919920656301
same trajectory: proxy - val-loss,P97,camelyon17_loo_h1,1,10,0.01898473392169227,-0.0031744212697685124,0.0034046071554226106,0.008421515576398742
same trajectory: proxy - val-loss,P97,camelyon17_loo_h2,2,10,0.010369665224221331,0.00038446163613702343,0.0006624708811299264,0.00530154076169242
same trajectory: proxy - val-loss,P97,camelyon17_loo_h3,3,10,0.010459027256966541,-0.00018895510392529235,0.0012125999966352205,0.002452525739320971
same trajectory: proxy - val-loss,P97,camelyon17_loo_h4,4,10,0.006668397394302491,-0.0021317359827946803,0.0018568013567908889,0.004902007057223531
same trajectory: proxy - val-loss,P99,camelyon17_loo_h0,0,10,0.014562585405619378,-0.0028245203556387156,0.0033875365518982493,0.00486374402528713
same trajectory: proxy - val-loss,P99,camelyon17_loo_h1,1,10,0.005472823150056719,-0.002443845977538395,0.00238289337591993,0.005157523485693439
same trajectory: proxy - val-loss,P99,camelyon17_loo_h2,2,10,0.0038421411454001215,-0.0004949796599806877,0.00105582707859406,0.006922561487248439
same trajectory: proxy - val-loss,P99,camelyon17_loo_h3,3,10,0.009493705628450755,-0.0003753452064398366,0.0017485500810280898,0.011464798277016009
same trajectory: proxy - val-loss,P99,camelyon17_loo_h4,4,10,0.004392796647340639,-0.0008799563808197464,0.0009420214819269697,0.00502777591138215
workflow: proxy - baseline,P95,camelyon17_loo_h0,0,10,0.023460765250510905,-0.0046888160973327046,0.0027820660293782504,-0.0023684930223182602
workflow: proxy - baseline,P95,camelyon17_loo_h1,1,10,0.02341076965509476,-0.0021544808617924073,0.0010203820909534685,0.0013494209430295798
workflow: proxy - baseline,P95,camelyon17_loo_h2,2,10,0.031363630088325344,-0.014232134879018022,0.007701907109744088,-0.01819104700794087
workflow: proxy - baseline,P95,camelyon17_loo_h3,3,10,0.027064497967362,-0.0021323711728041374,-0.00562370784604411,-0.035393231871133704
workflow: proxy - baseline,P95,camelyon17_loo_h4,4,10,-0.024546733962176805,0.0029321782328173398,-0.005252851447459759,-0.026545392584687282
workflow: proxy - baseline,P97,camelyon17_loo_h0,0,10,0.013299003962008702,3.743565746372468e-05,-0.00041964724861155017,-0.0035450582352292105
workflow: proxy - baseline,P97,camelyon17_loo_h1,1,10,-0.0010995242701549862,0.0037159064863625637,-0.003833925221210921,-0.01413504506552295
workflow: proxy - baseline,P97,camelyon17_loo_h2,2,10,0.017337249095690215,-0.00985491570061373,0.004530295505887889,-0.02636215065552035
workflow: proxy - baseline,P97,camelyon17_loo_h3,3,10,-0.0253172417500086,0.00405184722851597,-0.010790007803818108,-0.04456243351526342
workflow: proxy - baseline,P97,camelyon17_loo_h4,4,10,-0.019963564674081214,0.0029730712143700823,-0.00456887933462973,-0.023159099526338676
workflow: proxy - baseline,P99,camelyon17_loo_h0,0,10,0.002305935380542265,-0.00025456247075339444,-0.0005072146238706409,-0.011497545577341322
workflow: proxy - baseline,P99,camelyon17_loo_h1,1,10,-0.010871353829836885,0.0016273206509282655,-0.003072258883108389,-0.01209587044397997
workflow: proxy - baseline,P99,camelyon17_loo_h2,2,10,0.002017075030720822,-0.00393632280668752,0.0015626217857251004,-0.013791384290719721
workflow: proxy - baseline,P99,camelyon17_loo_h3,3,10,-0.023595912356897633,0.0014381107909609558,-0.00846548687338301,-0.03762374079543236
workflow: proxy - baseline,P99,camelyon17_loo_h4,4,10,-0.02329597071659229,0.005318359434162268,-0.0059175473969154,-0.01737259728110614
