contrast,level,metric,unit,mean,ci_low,ci_high,n,harm_count,harmful_direction
same trajectory: proxy - val-loss,P95,Loss,seed-fold,0.019885773635239794,0.013222482734342818,0.027121833290813153,50,37,positive
same trajectory: proxy - val-loss,P95,Acc,seed-fold,-0.0030291031426222426,-0.005046343865197786,-0.0011747263441281178,50,24,negative
same trajectory: proxy - val-loss,P95,Brier,seed-fold,0.0028175354245426392,0.0015233825371349784,0.004230276488173154,50,30,positive
same trajectory: proxy - val-loss,P95,ECE,seed-fold,0.005728720536286546,0.003065368530166523,0.008635742945843978,50,30,positive
same trajectory: proxy - val-loss,P97,Loss,seed-fold,0.010939390502137249,0.0063155926162904155,0.01623544375895146,50,26,positive
same trajectory: proxy - val-loss,P97,Acc,seed-fold,-0.001394989292409099,-0.002820216032428762,-0.00015223293218165942,50,20,negative
same trajectory: proxy - val-loss,P97,Brier,seed-fold,0.001782815900273239,0.0007748401297183765,0.002946745511956198,50,20,positive
same trajectory: proxy - val-loss,P97,ECE,seed-fold,0.004025919428514007,0.0010463160685163279,0.007228178119268853,50,21,positive
same trajectory: proxy - val-loss,P99,Loss,seed-fold,0.007552810395373521,0.004581910609088397,0.010728549856554333,50,27,positive
same trajectory: proxy - val-loss,P99,Acc,seed-fold,-0.0014037295160834761,-0.002406123479509496,-0.0004072730608419912,50,24,negative
same trajectory: proxy - val-loss,P99,Brier,seed-fold,0.0019033657138734597,0.0010947324972238482,0.002793504566700385,50,26,positive
same trajectory: proxy - val-loss,P99,ECE,seed-fold,0.006687280637325435,0.0031113399409686314,0.010565530920162271,50,21,positive
workflow: proxy - baseline,P95,Loss,seed-fold,0.016150585799823237,0.005371441575159083,0.026527270435496034,50,35,positive
workflow: proxy - baseline,P95,Acc,seed-fold,-0.004055124955625986,-0.007535280655903111,-0.0005947269702867116,50,31,negative
workflow: proxy - baseline,P95,Brier,seed-fold,0.00012555918731438755,-0.002640427193742156,0.0029061350122705607,50,22,positive
workflow: proxy - baseline,P95,ECE,seed-fold,-0.016229748708610107,-0.022152192569702037,-0.01033886910947602,50,9,positive
workflow: proxy - baseline,P97,Loss,seed-fold,-0.0031488155273091765,-0.012707735723747933,0.006041644674383214,50,26,positive
workflow: proxy - baseline,P97,Acc,seed-fold,0.00018466897721972186,-0.003048174777524412,0.0032524266784801042,50,23,negative
workflow: proxy - baseline,P97,Brier,seed-fold,-0.0030164328204764844,-0.005692077808964341,-0.00033979649987867357,50,19,positive
workflow: proxy - baseline,P97,ECE,seed-fold,-0.022352757399574926,-0.028721199465001714,-0.016101925809582508,50,7,positive
workflow: proxy - baseline,P99,Loss,seed-fold,-0.010688045298412743,-0.01757332621206087,-0.0039552530995248854,50,19,positive
workflow: proxy - baseline,P99,Acc,seed-fold,0.000838581119722115,-0.0012516585024833805,0.002982382788377331,50,20,negative
workflow: proxy - baseline,P99,Brier,seed-fold,-0.0032799771983104673,-0.005472428805544321,-0.0011474294445578124,50,18,positive
workflow: proxy - baseline,P99,ECE,seed-fold,-0.018476227677715906,-0.02447233858157298,-0.012353018900812123,50,10,positive
