"fold","holdout_hospital","level","selection_policy","regime","seed","tag","epoch","chosen_val_overall_loss","chosen_val_overall_acc","chosen_proxy_metric","chosen_proxy_metric_col"
"camelyon17_loo_h0","0","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h0cal","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip758_clipa10","10","0.2310701988906164","0.921","0.4826398604214598","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h0cal","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip758_clipa10","2","0.2015114904836102","0.9235","0.5347663367297907","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h0cal","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1148_clipa10","12","0.1824604762563058","0.9395","0.5728846517488138","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h0cal","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1148_clipa10","22","0.1796150057900085","0.94","0.5956295778888384","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h0cal","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2099_clipa10","4","0.2003094903643286","0.9315","0.7374221635057449","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h0cal","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2099_clipa10","29","0.1580910864925697","0.937","0.7934290502226768","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","baseline","baseline","rcgdro","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","30","0.1701078407322251","0.9405","0.6668503931723535","proxy_worst_loss_min"
"camelyon17_loo_h0","0","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h0cal","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip758_clipa10","12","0.2158837027871845","0.934","0.4895845658757993","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h0cal","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip758_clipa10","4","0.1879068855818829","0.93","0.5919303275356995","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h0cal","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1148_clipa10","1","0.1986911069583342","0.9305","0.6735303945739923","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h0cal","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1148_clipa10","26","0.1747011917514159","0.9385","0.6753464939917544","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h0cal","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2099_clipa10","26","0.1838876900865745","0.936","0.7256847174857315","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h0cal","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2099_clipa10","28","0.1727330854478933","0.94","0.777162737587836","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","baseline","baseline","rcgdro","1","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","18","0.179046072460826","0.935","0.7477052197791636","proxy_worst_loss_min"
"camelyon17_loo_h0","0","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h0cal","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip758_clipa10","4","0.1945264615162663","0.932","0.5461073657649482","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h0cal","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip758_clipa10","18","0.182263897394264","0.937","0.5891010115085302","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h0cal","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1148_clipa10","30","0.1905788463421019","0.939","0.6567262784808107","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h0cal","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1148_clipa10","26","0.1757477376404669","0.9335","0.8070874337956084","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h0cal","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2099_clipa10","24","0.1913734939394013","0.937","0.7162788513105831","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h0cal","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2099_clipa10","19","0.1674886407244012","0.9365","0.8278240446010856","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","baseline","baseline","rcgdro","2","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","6","0.2054529896795711","0.923","0.723567861597985","proxy_worst_loss_min"
"camelyon17_loo_h0","0","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h0cal","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip758_clipa10","6","0.2228479924778947","0.9305","0.4902820080189084","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h0cal","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip758_clipa10","30","0.185476130874347","0.935","0.6577700472878942","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h0cal","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1148_clipa10","8","0.1941443505359536","0.9355","0.5890658647679768","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h0cal","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1148_clipa10","26","0.192957003679822","0.937","0.6911754365038966","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h0cal","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2099_clipa10","22","0.1576979150859387","0.944","0.6697182416456609","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h0cal","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2099_clipa10","22","0.1576979150859387","0.944","0.6697182416456609","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","baseline","baseline","rcgdro","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","24","0.1666055984564383","0.937","0.650553451385349","proxy_worst_loss_min"
"camelyon17_loo_h0","0","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h0cal","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip758_clipa10","26","0.197411056782984","0.938","0.5343829659886352","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h0cal","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip758_clipa10","16","0.1881677351140075","0.933","0.5757842135539766","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h0cal","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1148_clipa10","8","0.1846525905551342","0.941","0.5729729210401393","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h0cal","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1148_clipa10","10","0.1800204978935355","0.942","0.5788267224940578","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h0cal","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2099_clipa10","11","0.1715504776928958","0.9325","0.7374592150414487","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h0cal","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2099_clipa10","10","0.1552853535068307","0.936","0.7672342518350899","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","baseline","baseline","rcgdro","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","26","0.1771492038164098","0.9385","0.6783867734484375","proxy_worst_loss_min"
"camelyon17_loo_h0","0","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h0cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip758_clipa10","27","0.2257033445592122","0.923","0.5039549207699399","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h0cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip758_clipa10","25","0.1890653409098908","0.938","0.5392567200634123","proxy_worst_loss_clip_min"
"camelyon17_loo_h0","0","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h0cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1148_clipa10","7","0.193919889704422","0.937","0.6165242052541884","proxy_worst_loss_clip_min"
