suite,contrast,metric,mean,ci_low,ci_high,n,worse_count
Camelyon17 ERM,workflow: proxy - baseline,Loss,0.0553146303895537,0.045542933420604295,0.06594026159532257,10,10
Camelyon17 ERM,workflow: proxy - baseline,Acc,0.0009852564253297427,-0.000752492534154837,0.0025184882545206105,10,3
Camelyon17 ERM,workflow: proxy - baseline,ECE,0.032137872591713426,0.030486317571303476,0.03342165084762809,10,10
Camelyon17 ERM,workflow: proxy - baseline,Brier,0.0026582114482915802,0.0013400225737962821,0.003814777535224072,10,8
Camelyon17 ERM,workflow: proxy - baseline,Teacher-tail CVaR,5.501472663879394,5.003168285489083,6.036090517044068,10,10
Camelyon17 Finetune,workflow: proxy - baseline,Loss,0.6185242155409866,0.3276057037469652,0.9162100659213765,10,9
Camelyon17 Finetune,workflow: proxy - baseline,Acc,0.025108754438356827,-0.021236420391751075,0.07074185223505064,10,3
Camelyon17 Finetune,workflow: proxy - baseline,ECE,0.02139113328389914,0.017743990307065166,0.024819756952369525,10,10
Camelyon17 Finetune,workflow: proxy - baseline,Brier,0.0006126175117355701,-0.0033613183044823225,0.0050588929107143596,10,4
Camelyon17 Finetune,workflow: proxy - baseline,Teacher-tail CVaR,6.2263586044311525,3.463862383365631,9.058556703031062,10,9
