level,seed,contrast,val_accuracy_epoch,val_loss_epoch,delta_validation_accuracy,delta_validation_loss,delta_proxy_metric,delta_loss,delta_acc,delta_ece,delta_brier,delta_teacher_tail_cvar
P95,0,same trajectory: val-accuracy - val-loss,26,7,0.006000000000000005,0.05081467467535189,-0.019437393291521,0.03470102730701494,0.002398476262139182,0.0086128926130329,0.00036703346389470315,2.279574871063234
P95,1,same trajectory: val-accuracy - val-loss,18,5,0.009500000000000064,0.042788067256789464,-0.021489438909290892,0.016085441716142374,0.006102005784560327,0.005384134178358098,-0.002937577716427109,2.427866697311403
P95,2,same trajectory: val-accuracy - val-loss,13,5,0.01100000000000001,0.018832362150184467,-0.02025998916815619,0.010478062479863687,0.005137912385073218,0.0043178548540953945,-0.0026488722888285965,1.6212205886840838
P95,3,same trajectory: val-accuracy - val-loss,21,5,0.009499999999999953,0.03851188385217419,-0.031106510928042785,0.022731187610143117,0.005455357772709002,0.007582703694453102,-0.002174225443336203,2.248979330062866
P95,4,same trajectory: val-accuracy - val-loss,15,7,0.00550000000000006,0.032398449146594566,-0.008508605781114398,0.017341518748271,0.0008700355068546051,0.004006537465362801,0.00029037584667170047,1.7119793891906738
P95,5,same trajectory: val-accuracy - val-loss,27,5,0.01100000000000001,0.05842509684156599,-0.02872448491751639,0.03522356758533712,0.005631716321395808,0.009662717428691299,-0.001910414040624392,3.208488941192625
P95,6,same trajectory: val-accuracy - val-loss,29,6,0.0040000000000000036,0.06115068455371814,-0.023650726998369398,0.03707534182587041,0.0033625696616268463,0.009206148103575298,-0.00047428478514519035,3.188108205795288
P95,7,same trajectory: val-accuracy - val-loss,26,5,0.008499999999999952,0.0465752931502213,-0.02602206259753112,0.03426935000719289,0.0041738189855857755,0.0097778794989513,-0.0009926566949230026,2.8311946392059326
P95,8,same trajectory: val-accuracy - val-loss,12,4,0.011499999999999955,0.02253398146307789,-0.023747157304518512,0.011510677508612177,0.007136642603522314,0.006818493862766298,-0.003904083995151103,2.1254229545593244
P95,9,same trajectory: val-accuracy - val-loss,14,4,0.011499999999999955,0.02405692282437699,-0.027573171105086086,0.01111458514844929,0.00919415900486742,0.006742437610508502,-0.005209190206222895,2.273958683013918
P97,0,same trajectory: val-accuracy - val-loss,25,5,0.006500000000000061,0.05579996838941581,-0.0350258305353785,0.034008203402429216,0.003491899263996956,0.012281073287306397,-0.00026226725900459213,2.548151254653929
P97,1,same trajectory: val-accuracy - val-loss,23,5,0.009500000000000064,0.05164121254884313,-0.036065604802058004,0.027929684398635163,0.0054200860629716185,0.011102839889064898,-0.0017175860404926024,2.741910457611084
