seed,selector,selected_regime,selected_epoch,fallback_to_baseline,val_proxy_loss,val_standard_loss,test_overall_acc,test_overall_loss,test_brier,test_ece,test_wilds_wg_acc,test_wilds_wg_loss,test_wilds_wg_brier,test_wilds_wg_ece,test_wilds_wg_groups
0,baseline,erm,1,0,0.25871512293815613,0.25871512293815613,0.9249076856378287,0.18605457246303558,0.054609687340294165,0.015485298172977372,0.557936507936508,1.1361639499664307,0.32443850091905657,0.21891216156319576,16
0,proxy_only,erm_softclip_p95_a10_cc,4,0,0.2388174682855606,0.5308364033699036,0.922807253591664,0.33678802847862244,0.07225928314800555,0.06953036126505209,0.5007936507936508,2.382333278656006,0.47258906881724766,0.47354949202394886,16
0,val_loss_only,erm_softclip_p95_a10_cc,2,0,0.24831035733222961,0.4705910086631775,0.9252216292176825,0.284488707780838,0.06917449602664573,0.06388210999620444,0.4292763157894737,1.9946134090423584,0.5153024656657484,0.5341894893462585,16
0,guardrail_1.25,erm,1,1,0.25871512293815613,0.25871512293815613,0.9249076856378287,0.18605457246303558,0.054609687340294165,0.015485298172977372,0.557936507936508,1.1361639499664307,0.32443850091905657,0.21891216156319576,16
0,fixed10_baseline,erm,10,0,1.1120473146438599,1.1120473146438599,0.9168348507273026,0.5920848846435547,0.08082087966328956,0.0804203921705992,0.4240934234787953,5.050929069519043,0.5696129089226617,0.5665688767970076,16
0,fixed10_softclip,erm_softclip_p95_a10_cc,10,0,0.27928709983825684,0.9225514531135559,0.918015876575324,0.5930495858192444,0.08024523459988728,0.07997070642487017,0.4596153846153846,4.3301005363464355,0.5338515342413455,0.5328239193774008,16
1,baseline,erm,1,0,0.2471495419740677,0.2471495419740677,0.9159229193762988,0.19229789078235626,0.05964328833785794,0.013127881317911191,0.6166666666666667,0.871575653553009,0.27505604789768634,0.18874060065026027,16
1,proxy_only,erm_softclip_p95_a10_cc,5,0,0.23186136782169342,0.6040328145027161,0.9142560284642179,0.44013428688049316,0.08193520866989015,0.08097262715447774,0.5550092194222496,2.7129976749420166,0.43273642572588916,0.42932009892500145,16
1,val_loss_only,erm_softclip_p95_a10_cc,1,0,0.26994574069976807,0.4693868160247803,0.9244890941980236,0.2599000334739685,0.06751839881312406,0.06106966772711329,0.3547619047619048,2.2070114612579346,0.5760949063262116,0.5995592936501439,16
1,guardrail_1.25,erm,1,1,0.2471495419740677,0.2471495419740677,0.9159229193762988,0.19229789078235626,0.05964328833785794,0.013127881317911191,0.6166666666666667,0.871575653553009,0.27505604789768634,0.18874060065026027,16
1,fixed10_baseline,erm,10,0,0.9543541073799133,0.9543541073799133,0.9173580900270589,0.5551439523696899,0.08056761371581574,0.07981583911594782,0.4380952380952381,4.4132819175720215,0.5490990112915426,0.5522956755036778,16
1,fixed10_softclip,erm_softclip_p95_a10_cc,10,0,0.28218042850494385,0.9093237519264221,0.9117295301311088,0.6195509433746338,0.0868274974035086,0.08649091389283295,0.5248924400737554,3.9015302658081055,0.4694755144504119,0.4696439999084894,16
2,baseline,erm,1,0,0.2886148691177368,0.2886148691177368,0.9252814279947975,0.18669429421424866,0.056121114208547755,0.02187885116685463,0.4603174603174603,1.3059706687927246,0.4007008347855981,0.37262043069668777,16
2,proxy_only,erm_softclip_p95_a10_cc,4,0,0.2327042818069458,0.531927227973938,0.918830634913516,0.36143794655799866,0.07689870161970482,0.07443515773964658,0.5307692307692308,2.273212194442749,0.4462182400954963,0.4478364215956252,16
2,val_loss_only,erm_softclip_p95_a10_cc,1,0,0.2721331715583801,0.49063387513160706,0.9230912977829603,0.2806907296180725,0.07009120736783807,0.06494742776913658,0.3825396825396825,2.257258415222168,0.561971977169137,0.5772996521931961,16
2,guardrail_1.25,erm,1,1,0.2886148691177368,0.2886148691177368,0.9252814279947975,0.18669429421424866,0.056121114208547755,0.02187885116685463,0.4603174603174603,1.3059706687927246,0.4007008347855981,0.37262043069668777,16
2,fixed10_baseline,erm,10,0,1.1391240358352661,1.1391240358352661,0.9187259870535648,0.6257492303848267,0.07954329561511735,0.07920270520734654,0.4605263157894737,5.068078517913818,0.5340459148442712,0.5332763387337649,16
2,fixed10_softclip,erm_softclip_p95_a10_cc,10,0,0.29152217507362366,0.9900006055831909,0.9161695893318982,0.6354100108146667,0.08255942606722884,0.08230899654761464,0.4801587301587302,4.471516132354736,0.5142751175915523,0.5151905063457436,16
3,baseline,erm,1,0,0.29916682839393616,0.29916682839393616,0.9272697373338715,0.18593831360340118,0.05413511830966644,0.01575583620732775,0.39285714285714285,1.3912204504013062,0.43120324165478036,0.37707554617851835,16
3,proxy_only,erm_softclip_p95_a10_cc,5,0,0.23132601380348206,0.5754575133323669,0.9179261784096515,0.4194414019584656,0.07875358840457607,0.0768715953227078,0.5277777777777778,2.5413999557495117,0.4496200678477284,0.4536253352600549,16
3,val_loss_only,erm_softclip_p95_a10_cc,3,0,0.24815787374973297,0.49914443492889404,0.9244890941980236,0.3031054735183716,0.07050673988883122,0.06696960329686145,0.42698412698412697,2.368093252182007,0.5384662948585613,0.5448513218660938,16
3,guardrail_1.25,erm,1,1,0.29916682839393616,0.29916682839393616,0.9272697373338715,0.18593831360340118,0.05413511830966644,0.01575583620732775,0.39285714285714285,1.3912204504013062,0.43120324165478036,0.37707554617851835,16
3,fixed10_baseline,erm,10,0,0.8436779975891113,0.8436779975891113,0.9149885634838768,0.5335555076599121,0.08318601151855819,0.08256778091282674,0.5007936507936508,3.439517021179199,0.4929715904158705,0.48985208844619976,16
3,fixed10_softclip,erm_softclip_p95_a10_cc,10,0,0.29197967052459717,0.9464345574378967,0.9142111793813816,0.5758923292160034,0.08392604168320938,0.08377699117243906,0.48095238095238096,3.987338066101074,0.5161220953212218,0.5159518143958575,16
4,baseline,erm,1,0,0.3074975311756134,0.3074975311756134,0.9274341839709378,0.1906813085079193,0.05481072081533042,0.025089793718231307,0.43174603174603177,1.4552370309829712,0.41773573998136687,0.3866318167035722,16
