suite,suite_label,seed,baseline_epoch,softclip_epoch,baseline_val_loss,softclip_val_loss,baseline_proxy_ce,softclip_proxy_ce,baseline_proxy_clip_cc,softclip_proxy_clip_cc,delta_clip_proxy_soft_minus_base,delta_val_loss_soft_minus_base,test_overall_loss_baseline,test_overall_loss_softclip,delta_test_overall_loss_soft_minus_base,test_overall_acc_baseline,test_overall_acc_softclip,delta_test_overall_acc_soft_minus_base,test_wilds_wg_loss_baseline,test_wilds_wg_loss_softclip,delta_test_wilds_wg_loss_soft_minus_base,test_wilds_wg_acc_baseline,test_wilds_wg_acc_softclip,delta_test_wilds_wg_acc_soft_minus_base,test_ece_baseline,test_ece_softclip,delta_test_ece_soft_minus_base,test_brier_baseline,test_brier_softclip,delta_test_brier_soft_minus_base,test_wilds_wg_ece_baseline,test_wilds_wg_ece_softclip,delta_test_wilds_wg_ece_soft_minus_base,test_wilds_wg_brier_baseline,test_wilds_wg_brier_softclip,delta_test_wilds_wg_brier_soft_minus_base,oracle_wg_acc_baseline,oracle_wg_acc_softclip,delta_oracle_wg_acc_soft_minus_base,worst_cell_cvar_baseline,worst_cell_cvar_softclip,delta_worst_cell_cvar_soft_minus_base,worst_cell_mean_loss_baseline,worst_cell_mean_loss_softclip,delta_worst_cell_mean_loss_soft_minus_base
civilcomments,CivilComments,0,21,16,0.2522392698156516,0.3148992840851163,0.3229854157067826,0.4924411042142657,0.2993957621856437,0.2857424951633399,-0.0136532670223037,0.0626600142694647,0.2579997777938843,0.3687404692173004,0.1107406914234161,0.8976992420505001,0.8938795951622789,-0.0038196468882212,1.4824748039245603,3.42474627494812,1.94227147102356,0.2095238095238095,0.0547619047619047,-0.1547619047619048,0.008868641473624,0.0795700865064809,0.0707014450328569,0.0769026801255392,0.0912500491561032,0.0143473690305639,0.5466255336295558,0.8638349875212186,0.3172094538916628,0.51749508226196,0.8312586768171413,0.3137635945551813,,,,,,,,,
civilcomments,CivilComments,1,29,22,0.2513394505220897,0.3091866280994259,0.3226415317133078,0.4810541246344223,0.3004622072770324,0.2857144716128753,-0.0147477356641571,0.0578471775773361,0.2570185661315918,0.3588172495365143,0.1017986834049224,0.8981925819616989,0.8933040319325469,-0.004888550029152,1.4785516262054443,3.296215772628784,1.81766414642334,0.2174603174603174,0.0531746031746031,-0.1642857142857143,0.008337743445416,0.0781523813101602,0.0698146378647441,0.0766401422130011,0.0910112124152143,0.0143710702022132,0.5391510378627893,0.8609119337136588,0.3217608958508695,0.5152654248510606,0.8252031633762305,0.3099377385251698,,,,,,,,,
civilcomments,CivilComments,2,23,20,0.2527059484471086,0.3089797253424869,0.3236830367125727,0.4845461882722056,0.3016537279953219,0.2861113042673253,-0.0155424237279965,0.0562737768953783,0.258411705493927,0.3511055111885071,0.09269380569458,0.8979982359360751,0.8941860638949933,-0.0038121720410817,1.479048728942871,3.1941659450531006,1.7151172161102295,0.2095238095238095,0.0619047619047619,-0.1476190476190476,0.0114559084791288,0.0753411348756448,0.063885226396516,0.0769800949894364,0.0895682574703634,0.0125881624809269,0.5462996344677045,0.8476848382743712,0.3013852038066668,0.5162790692986814,0.8089445429512013,0.2926654736525199,,,,,,,,,
civilcomments,CivilComments,3,28,21,0.2510825746697046,0.3073024087007793,0.3246225921002353,0.4784890353614113,0.3007610530367576,0.2857654092620055,-0.0149956437747521,0.0562198340310747,0.2567940056324005,0.3540762662887573,0.0972822606563568,0.898394402834462,0.8940440417993452,-0.0043503610351168,1.5267215967178345,3.248866558074951,1.7221449613571167,0.2,0.0587301587301587,-0.1412698412698413,0.0063563426110904,0.0763226939383931,0.0699663513273027,0.0765497246181987,0.090087485382445,0.0135377607642463,0.56211259129965,0.8539222428615758,0.2918096515619258,0.5285255620414682,0.8170531608378392,0.288527598796371,,,,,,,,,
civilcomments,CivilComments,4,22,17,0.2518283733314553,0.3141304688060734,0.3255523295511369,0.4959450323082527,0.3015563140214367,0.2860406837682555,-0.0155156302531811,0.062302095474618,0.2575117647647857,0.3601838052272796,0.1026720404624939,0.8980131856303538,0.8942010135892721,-0.0038121720410817,1.5010273456573486,3.3072898387908936,1.806262493133545,0.2055555555555555,0.0626984126984127,-0.1428571428571428,0.007536276505941,0.0773680211396952,0.0698317446337541,0.0767699313258225,0.0903049423653753,0.0135350110395528,0.5528260899098342,0.8528874884293489,0.3000613985195147,0.5226811434751436,0.818501790987052,0.2958206475119084,,,,,,,,,
civilcomments,CivilComments,5,19,22,0.2520931101458138,0.3212210746943443,0.3232042097112551,0.5068894477708331,0.2998412304082419,0.2854106494831284,-0.0144305809251135,0.0691279645485305,0.257873922586441,0.3639525473117828,0.1060786247253418,0.8977889402161726,0.8927434183970938,-0.0050455218190788,1.5133079290390017,3.353067636489868,1.8397597074508665,0.2023809523809523,0.0460526315789473,-0.1563283208020049,0.0067786925373178,0.0800137750992879,0.0732350825619701,0.0768708783511614,0.0918533157016726,0.0149824373505112,0.5572966825687269,0.8706920504512466,0.3133953678825197,0.526418023884141,0.8335172684960728,0.3070992446119317,,,,,,,,,
civilcomments,CivilComments,6,5,17,0.2582383640220981,0.314812569839836,0.3250525730131599,0.4933711360632484,0.3018244772586716,0.2857368944737367,-0.0160875827849349,0.0565742058177378,0.2642826735973358,0.3692106008529663,0.1049279272556305,0.8956137596986141,0.8938123215380246,-0.0018014381605895,1.5417779684066772,3.388822317123413,1.847044348716736,0.1777777777777777,0.0571428571428571,-0.1206349206349206,0.0108638170140242,0.0796447480827944,0.0687809310687702,0.0786229166298222,0.0912938824649444,0.0126709658351222,0.5823196688952442,0.8595640411472611,0.2772443722520169,0.5397380292633766,0.8270033464331057,0.2872653171697291,,,,,,,,,
civilcomments,CivilComments,7,25,28,0.2511772963519555,0.3189069907855223,0.3240248357088666,0.5012034079737944,0.2987378499932573,0.2851265114178285,-0.0136113385754288,0.0677296944335667,0.2568949162960052,0.361368328332901,0.1044734120368958,0.8982374310445351,0.8943430356849202,-0.0038943953596148,1.526906967163086,3.3534560203552246,1.826549053192139,0.2007936507936508,0.0603174603174603,-0.1404761904761905,0.0054719702547997,0.0776091595013711,0.0721371892465713,0.0765708055008496,0.0903214278465275,0.0137506223456778,0.5614773173448941,0.8563205170740816,0.2948431997291875,0.529156103994274,0.8221307468056812,0.2929746428114071,,,,,,,,,
civilcomments,CivilComments,8,24,22,0.2517699830297953,0.3141479655572661,0.3242647107716172,0.4931249046847445,0.2989599380391283,0.2857606410203051,-0.0131992970188231,0.0623779825274708,0.2574762105941772,0.361615926027298,0.1041397154331207,0.8980804592546082,0.8932890822382682,-0.00479137701634,1.467292308807373,3.328310251235962,1.8610179424285889,0.2166666666666666,0.0531746031746031,-0.1634920634920635,0.0080568679765467,0.0787228817353636,0.0706660137588169,0.0767589360784824,0.091133361448509,0.0143744253700266,0.5386193638038386,0.8617461272419877,0.3231267634381491,0.5126299091484429,0.8263058058913548,0.3136758967429119,,,,,,,,,
civilcomments,CivilComments,9,17,16,0.2526788693759755,0.3108918496664137,0.32328765318059,0.4870246967731514,0.2979321351126646,0.2864325194187999,-0.0114996156938647,0.0582129802904381,0.2584773004055023,0.3708573579788208,0.1123800575733184,0.8976543929676638,0.893999192716509,-0.0036552002511548,1.5178240537643433,3.4317634105682373,1.913939356803894,0.2007936507936508,0.0587301587301587,-0.1420634920634921,0.0079196668190974,0.0797052653622659,0.0717855985431684,0.0770066008454335,0.0912484515498487,0.0142418507044152,0.5603991762447172,0.8604245742373773,0.30002539799266,0.527773825668491,0.829040768760691,0.3012669430922,,,,,,,,,
