suite,point,acc,loss
CelebA ERM,Baseline selected,0.345,1.5571902751922608
CelebA ERM,P95 proxy-selected,0.3277777777777778,3.7642910957336415
CelebA ERM,P95 fixed30,0.3183333333333333,4.196560907363891
CelebA ERM,Baseline fixed30,0.3094444444444444,4.898698234558106
CelebA ERM,P95 guardrail,0.3438888888888888,1.5540974259376523
Camelyon17 ERM,Baseline selected,0.9189115150375056,0.2111127794472336
Camelyon17 ERM,P95 proxy-selected,0.9198967714628352,0.2664274098367872
Camelyon17 ERM,P95 fixed30,0.9204011569120796,0.2866714218214136
Camelyon17 ERM,Baseline fixed30,0.9110482752133938,0.2334541361020872
Camelyon17 ERM,P95 guardrail,0.9175600659128772,0.2311883209104073
Camelyon17 Finetune,Baseline selected,0.6831730430079713,0.9018251368737656
Camelyon17 Finetune,P95 proxy-selected,0.7082817974463282,1.5203493524147524
Camelyon17 Finetune,P95 fixed10,0.7282820325910597,2.0553998105568434
Camelyon17 Finetune,Baseline fixed10,0.7252651256848591,1.563934939221212
Camelyon17 Finetune,P95 guardrail,0.694067422182564,0.9542427751823512
